product_id,name,category,price,stock,description
1001,"智能手机 X1","电子产品",3999.99,120,"高性能智能手机，搭载最新处理器"
1002,"笔记本电脑 Pro","电子产品",8599.50,45,"轻薄高性能笔记本电脑"
1003,"无线耳机","配件",699.00,200,"降噪无线耳机，续航20小时"
1004,"智能手表","可穿戴设备",1299.00,80,"多功能智能手表，支持健康监测"
1005,"平板电脑","电子产品",2499.99,60,"10.5英寸高清显示屏平板电脑"
1006,"智能音箱","智能家居",499.00,150,"智能语音助手音箱"
1007,"VR眼镜","配件",1999.00,30,"高清虚拟现实眼镜"
1008,"游戏手柄","配件",299.50,100,"专业游戏手柄，适用于多平台"
1009,"移动电源","配件",199.00,300,"20000mAh大容量快充移动电源"
1010,"智能门锁","智能家居",899.00,40,"指纹识别智能门锁"
